name,total_sales,total_quantity,average_price,most_common_address
USB-C Charging Cable,4,6,11.95,"917 1st St, Dallas, TX 75001"
Bose SoundSport Headphones,4,4,99.99,"668 Center St, Seattle, WA 98101"
Google Phone,4,4,600.0,"669 Spruce St, Los Angeles, CA 90001"
Wired Headphones,5,5,11.99,"669 Spruce St, Los Angeles, CA 90001"
Macbook Pro Laptop,1,1,1700.0,"915 Willow St, San Francisco, CA 94016"
Lightning Charging Cable,4,4,14.95,"438 Elm St, Seattle, WA 98101"
27in 4K Gaming Monitor,2,2,389.99,"657 Hill St, Dallas, TX 75001"
AA Batteries (4-pack),3,3,3.84,"186 12th St, Dallas, TX 75001"
Apple Airpods Headphones,5,5,150.0,"149 Dogwood St, New York City, NY 10001"
AAA Batteries (4-pack),4,4,2.99,"433 Hill St, New York City, NY 10001"
iPhone,1,1,700.0,"84 Jackson St, Boston, MA 02215"
Flatscreen TV,1,1,300.0,"936 Church St, San Francisco, CA 94016"
27in FHD Monitor,1,1,149.99,"557 5th St, Los Angeles, CA 90001"
20in Monitor,1,1,109.99,"765 Cherry St, Seattle, WA 98101"
