,,
https://rod.kaidee.com/product-368200692,,
,title,2018 HONDA CIVIC FC 1.5 TURBO
,description,"รถมือเดียวออกป้ายแดง สภาพป้ายแดง วิ่งน้อยเพียง 33,000 กม เข้าศูนย์ทุกระยะ ไม่มีอุบัติเหตุครับ"
,price,"688,000 บาท"
,mileage,"33,000 กม."
,brand,Honda
,model,Civic
,year,2018
,color,เทา
,fuel_type,เบนซิน
,transmission,เกียร์อัตโนมัติ
,location,บางแค กรุงเทพมหานคร
,contact,กดเพื่อดูเบอร์โทร xxxxxx759
,,
https://rod.kaidee.com/product-368040520,,
,title,2018 HONDA CIVIC FC 1.8 EL
,description,"รถมือเดียวออกป้ายแดง วิ่งน้อยเพียง 80,000 กม เข้าศูนย์ HONDA ทุกระยะ ( ประวัติครบ ) ไม่เคยมีอุบัติเหตุครับ"
,price,"596,000 บาท"
,mileage,"80,000 กม."
,brand,Honda
,model,Civic
,year,2018
,color,เทา
,fuel_type,เบนซิน
,transmission,เกียร์อัตโนมัติ
,location,บางแค กรุงเทพมหานคร
,contact,กดเพื่อดูเบอร์โทร xxxxxx759
,,
https://rod.kaidee.com/product-367246566,,
,title,HONDA CIVIC 1.8EL รถบ้านมือเดียวสภาพเยี่ยม ปี2017
,description,HONDA CIVIC 1.8EL ตัวท็อป ปี2017 เจ้าของเป็นคุณหมอ ดูแลอย่างดี เข้าศูนย์ตลอด รถใช้งานน้อย ประวัติดีมากครับ การันตี ไม่เคยเกิดอุบัติเหตุ ไม่เคยน้ำท่วม รถประวัติดีมากครับ เครื่อง ช่วงล่าง เกียร์ และอุปกรณ์ทุกอย่างสมบูรณ์ พร้อมใช้งาน ยางใหม่มิชเชอลิน ปี 21 รถสวยมากๆครับ พร้อมรับประกันเครื่อง เกียร์ นาน 1ปี และรถสไลด์ฉุกเฉิน 24 ชม. สามารถ ฟรีดาวน์ได้ ครับ ออกง่าย ออกได้ทุกอาชีพ ติดบูโร ภาระเยอะมีทางออก มีดอกเบี้ยพิเศษ
,price,"629,000"
,mileage,"120,000 กม."
,brand,Honda
,model,Civic
,year,2017
,color,ดำ
,fuel_type,เบนซิน
,transmission,เกียร์อัตโนมัติ
,location,สวนหลวง กรุงเทพมหานคร
,contact,โทร หรือ LINE xxxxxx195
